trial,pathway,strategy,step,n_metabolites,auc
12,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
12,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
12,Tryptophan Metabolism,variance,1,4,0.7706093189964157
12,Tryptophan Metabolism,variance,2,5,0.8602150537634409
12,Tryptophan Metabolism,random,1,4,0.935483870967742
12,Tryptophan Metabolism,random,2,5,0.8602150537634409
13,Arginine and Proline Metabolism,commutator,1,5,1.0
13,Arginine and Proline Metabolism,commutator,2,6,1.0
13,Arginine and Proline Metabolism,variance,1,5,1.0
13,Arginine and Proline Metabolism,variance,2,6,1.0
13,Arginine and Proline Metabolism,random,1,5,1.0
13,Arginine and Proline Metabolism,random,2,6,1.0
13,Purine Metabolism,commutator,1,3,0.9713261648745519
13,Purine Metabolism,commutator,2,4,0.982078853046595
13,Purine Metabolism,variance,1,3,0.8279569892473118
13,Purine Metabolism,variance,2,4,0.982078853046595
13,Purine Metabolism,random,1,3,0.9713261648745519
13,Purine Metabolism,random,2,4,0.982078853046595
13,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
13,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
13,Pyrimidine Metabolism,variance,1,5,0.978494623655914
13,Pyrimidine Metabolism,variance,2,6,0.978494623655914
13,Pyrimidine Metabolism,random,1,5,0.978494623655914
13,Pyrimidine Metabolism,random,2,6,0.978494623655914
13,Tryptophan Metabolism,commutator,1,4,0.8602150537634409
13,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
13,Tryptophan Metabolism,variance,1,4,0.8602150537634409
13,Tryptophan Metabolism,variance,2,5,0.8602150537634409
13,Tryptophan Metabolism,random,1,4,0.8637992831541219
13,Tryptophan Metabolism,random,2,5,0.8602150537634409
14,Arginine and Proline Metabolism,commutator,1,5,1.0
14,Arginine and Proline Metabolism,commutator,2,6,1.0
14,Arginine and Proline Metabolism,variance,1,5,1.0
14,Arginine and Proline Metabolism,variance,2,6,1.0
14,Arginine and Proline Metabolism,random,1,5,1.0
14,Arginine and Proline Metabolism,random,2,6,1.0
14,Purine Metabolism,commutator,1,3,0.8279569892473118
14,Purine Metabolism,commutator,2,4,0.982078853046595
14,Purine Metabolism,variance,1,3,0.8279569892473118
14,Purine Metabolism,variance,2,4,0.982078853046595
14,Purine Metabolism,random,1,3,0.8279569892473118
14,Purine Metabolism,random,2,4,0.982078853046595
14,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
14,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
14,Pyrimidine Metabolism,variance,1,5,0.978494623655914
14,Pyrimidine Metabolism,variance,2,6,0.978494623655914
14,Pyrimidine Metabolism,random,1,5,0.978494623655914
14,Pyrimidine Metabolism,random,2,6,0.978494623655914
14,Tryptophan Metabolism,commutator,1,4,0.8637992831541219
14,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
14,Tryptophan Metabolism,variance,1,4,0.8637992831541219
14,Tryptophan Metabolism,variance,2,5,0.8602150537634409
14,Tryptophan Metabolism,random,1,4,0.8637992831541219
14,Tryptophan Metabolism,random,2,5,0.8602150537634409
15,Arginine and Proline Metabolism,commutator,1,5,1.0
15,Arginine and Proline Metabolism,commutator,2,6,1.0
15,Arginine and Proline Metabolism,variance,1,5,1.0
15,Arginine and Proline Metabolism,variance,2,6,1.0
15,Arginine and Proline Metabolism,random,1,5,1.0
15,Arginine and Proline Metabolism,random,2,6,1.0
15,Purine Metabolism,commutator,1,3,0.903225806451613
15,Purine Metabolism,commutator,2,4,0.982078853046595
15,Purine Metabolism,variance,1,3,0.903225806451613
15,Purine Metabolism,variance,2,4,0.982078853046595
15,Purine Metabolism,random,1,3,0.903225806451613
15,Purine Metabolism,random,2,4,0.982078853046595
15,Pyrimidine Metabolism,commutator,1,5,0.982078853046595
15,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
15,Pyrimidine Metabolism,variance,1,5,0.982078853046595
15,Pyrimidine Metabolism,variance,2,6,0.978494623655914
15,Pyrimidine Metabolism,random,1,5,0.971326164874552
15,Pyrimidine Metabolism,random,2,6,0.978494623655914
15,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
15,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
15,Tryptophan Metabolism,variance,1,4,0.7706093189964157
15,Tryptophan Metabolism,variance,2,5,0.8602150537634409
15,Tryptophan Metabolism,random,1,4,0.7706093189964157
15,Tryptophan Metabolism,random,2,5,0.8602150537634409
16,Arginine and Proline Metabolism,commutator,1,5,1.0
16,Arginine and Proline Metabolism,commutator,2,6,1.0
16,Arginine and Proline Metabolism,variance,1,5,1.0
16,Arginine and Proline Metabolism,variance,2,6,1.0
16,Arginine and Proline Metabolism,random,1,5,1.0
16,Arginine and Proline Metabolism,random,2,6,1.0
16,Purine Metabolism,commutator,1,3,0.8279569892473118
16,Purine Metabolism,commutator,2,4,0.982078853046595
16,Purine Metabolism,variance,1,3,0.8279569892473118
16,Purine Metabolism,variance,2,4,0.982078853046595
16,Purine Metabolism,random,1,3,0.8279569892473118
16,Purine Metabolism,random,2,4,0.982078853046595
16,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
16,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
16,Pyrimidine Metabolism,variance,1,5,0.978494623655914
16,Pyrimidine Metabolism,variance,2,6,0.978494623655914
16,Pyrimidine Metabolism,random,1,5,0.978494623655914
16,Pyrimidine Metabolism,random,2,6,0.978494623655914
16,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
16,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
16,Tryptophan Metabolism,variance,1,4,0.7706093189964157
16,Tryptophan Metabolism,variance,2,5,0.8602150537634409
16,Tryptophan Metabolism,random,1,4,0.8637992831541219
16,Tryptophan Metabolism,random,2,5,0.8602150537634409
17,Arginine and Proline Metabolism,commutator,1,5,1.0
17,Arginine and Proline Metabolism,commutator,2,6,1.0
17,Arginine and Proline Metabolism,variance,1,5,1.0
17,Arginine and Proline Metabolism,variance,2,6,1.0
17,Arginine and Proline Metabolism,random,1,5,1.0
17,Arginine and Proline Metabolism,random,2,6,1.0
17,Purine Metabolism,commutator,1,3,0.978494623655914
17,Purine Metabolism,commutator,2,4,0.982078853046595
17,Purine Metabolism,variance,1,3,0.978494623655914
17,Purine Metabolism,variance,2,4,0.982078853046595
17,Purine Metabolism,random,1,3,0.978494623655914
17,Purine Metabolism,random,2,4,0.982078853046595
17,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
17,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
17,Pyrimidine Metabolism,variance,1,5,0.982078853046595
17,Pyrimidine Metabolism,variance,2,6,0.978494623655914
17,Pyrimidine Metabolism,random,1,5,0.978494623655914
17,Pyrimidine Metabolism,random,2,6,0.978494623655914
17,Tryptophan Metabolism,commutator,1,4,0.8602150537634409
17,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
17,Tryptophan Metabolism,variance,1,4,0.8602150537634409
17,Tryptophan Metabolism,variance,2,5,0.8602150537634409
17,Tryptophan Metabolism,random,1,4,0.8637992831541219
17,Tryptophan Metabolism,random,2,5,0.8602150537634409
18,Arginine and Proline Metabolism,commutator,1,5,1.0
18,Arginine and Proline Metabolism,commutator,2,6,1.0
18,Arginine and Proline Metabolism,variance,1,5,1.0
18,Arginine and Proline Metabolism,variance,2,6,1.0
18,Arginine and Proline Metabolism,random,1,5,0.8279569892473118
18,Arginine and Proline Metabolism,random,2,6,1.0
18,Purine Metabolism,commutator,1,3,0.8279569892473118
