dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,81,degree,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,81,imputation,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,82,proposed,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,82,random,5,2,3,Glutamine,Alanine,292010.8258588179,264366.96568656433,27643.860172253568,0.09466724423983817,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,82,degree,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,82,imputation,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,83,proposed,5,2,3,Asparagine,Asparagine,1719.3905857828022,1719.3905857828022,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,83,random,5,2,3,Asparagine,Pyroglutamic acid,1719.3905857828022,1554.5734695363897,164.81711624641252,0.09585786825241613,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,83,degree,5,2,3,Asparagine,Asparagine,1719.3905857828022,1719.3905857828022,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,83,imputation,5,2,3,Asparagine,Asparagine,1719.3905857828022,1719.3905857828022,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,84,proposed,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,84,random,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,84,degree,5,2,3,Alanine,Pyroglutamic acid,264366.98342101823,1554.6039796194,262812.37944139884,0.9941195229468439,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,84,imputation,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,85,proposed,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,85,random,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,85,degree,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,85,imputation,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,86,proposed,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,86,random,5,2,3,Glutamine,Aspartic acid,292010.6260295542,588.9688683777018,291421.6571611765,0.9979830567250725,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,86,degree,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,86,imputation,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,87,proposed,5,2,3,Glutamine,Glutamine,292010.6157060987,292010.6157060987,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,87,random,5,2,3,Glutamine,Glutamine,292010.6157060987,292010.6157060987,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,87,degree,5,2,3,Glutamine,Glutamine,292010.6157060987,292010.6157060987,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,87,imputation,5,2,3,Glutamine,Glutamine,292010.6157060987,292010.6157060987,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,88,proposed,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,88,random,5,2,3,Glutamine,Alanine,292010.8258588179,264366.96568656433,27643.860172253568,0.09466724423983817,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,88,degree,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,88,imputation,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,89,proposed,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,89,random,5,2,3,Glutamine,Alanine,292010.6017192326,264366.94957271346,27643.65214651916,0.09466660451286785,0,1,1
