dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,96,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,97,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,98,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,99,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,100,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,1,imputation,7,4,3,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,2,imputation,7,4,3,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,3,imputation,7,4,3,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,4,imputation,7,4,3,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,5,imputation,7,4,3,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,6,imputation,7,4,3,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,7,imputation,7,4,3,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,8,imputation,7,4,3,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,9,imputation,7,4,3,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,10,imputation,7,4,3,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,11,imputation,7,4,3,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,12,imputation,7,4,3,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,13,imputation,7,4,3,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,14,imputation,7,4,3,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,15,imputation,7,4,3,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.3,16,imputation,7,4,3,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
